Nama Tempat,Lokasi,Kategori,Rating,Jumlah Review,Harga Tiket,Pengikut IG,Fasilitas,Review
Air Terjun Ciupang,Lampung Selatan,Alam,4.5,287,10000,371,"Toilet/Restroom: Tersedia untuk bilas atau keperluan lainnya.
 Akses Tangga: Terdapat tangga beton yang memudahkan pengunjung untuk naik ke tingkatan air terjun yang lebih tinggi.
 Area Parkir: Tersedia lahan parkir yang dikelola warga di sekitar area masuk.",air terjun yang masih sangat alami. jernih. dan memiliki dua tingkatan yang bisa dijelajahi melalui tangga semen.
Air Terjun Way Kalam,Lampung Selatan,Alam,4.6,108,15000,3756,parkir. gazebo. toilet. mushola. ruang ganti. warung makanan.,Tempatnya masih sangat alami. air terjun lumayan tinggi Akses jalan mau ke lokasi harus turun tangga yg sangat bnyak. licin. dan tak berarturan. jadi hati2
Air Terjun Lembah Pelangi,Tanggamus,Alam,4.5,499,5000,142,parkir luas. warung. toilet. musola. dan kamar bilas.,Air terjun yg masih sangat asri. akses jalan menuju kesana masih terbilang sulit. banyak tanjakan. jalan yg kurang bagus. minim petunjuk menuju lokasi nya. tp sesampai di lokasi area Camping Ground nya luas
Bukit Sakura,Bandar Lampung,Buatan,4.3,4808,15000,13900,gazebo gratis. mushola. toilet. parkir. kolam renang. wahana anak (mandi bola. bombom car). panggung live music. dan spot foto ala Jepang.,salah satu tempat yang rekomendasi bagi kalian yang ingin suasana alam perbukitan dengan pemandangan2 yang menakjubkan.
Bukit Aslan,Bandar Lampung,Alam,4.5,1716,45000,38200,area santai. spot foto estetik. glamping. taman bermain. dan area berkemah.,Bagus. tertata. hanya jalan masuk agak sempit dan terjal. Lewat perkampungan. Masuk tiket berbayar sesuai hari week day or week end. Di atas cakep banget pemandangannya.
Puncak Mas,Bandar Lampung,Buatan,4.4,12989,20000,4479,parkir luas. gazebo. toilet. mushola unik di atas pohon. food court/kafe. playground anak. dan spot foto instagramable.,Puncak Mas. tempat wisata klasik yg menyajikan banyak spot foto dan pemandangan kota Bandar Lampung yg bagus. Spot fotonya dimulai dari balon udara sampai rumah terbalik.
Way Tebing Ceppa,Lampung Selatan,Alam,4.4,12989,20000,5329,parkir luas. gazebo. toilet. mushola. food court. dan spot foto instagramable.,Tempatnya bagus. udaranya dingin dan sejuk. memandangan kota lampung bisa di lihat di beberapa posisi utk di foto. banyak spot spot fotonya.
Gunung Pesagi,Lampung Barat,Alam,4.6,140,15000,4759,basecamp. pos pendakian di Pekon Hujung/Bahway. tenda dasar,Gunungnya bersih. pelayanannya baik dan ramah. serta jika mendaki belum mendapatkan gantungan kunci. harus kembali lagi sampai mendapatkannya.
Gunung Rajabasa,Lampung Selatan,Alam,4.5,275,10000,9655,basecamp. parkir. pos pendakian dasar. sumber air,Salah satu gunung yang cocok didaki oleh pemula karena jalurnya tidak terlalu curam. dengan pemandangan puncak yang indah serta memperlihatkan laut di wilayah Kalianda. Selain itu. area berkemah di puncak tidak terlalu sempit. dan tersedia basecamp dengan penjagaan selama 24 jam bagi pendaki yang ingin menitipkan kendaraan.
Gunung Tanggamus,Tanggamus,Alam,4.6,176,25000,4712,basecamp snorkeling. shelter dasar,Tempatnya sangat alami. udaranya masih segar dengan banyak pepohonan. Pada malam hari. suhunya dapat mencapai sekitar 20°C sehingga cocok untuk kegiatan berkemah.
Taman Nasional Way Kambas,Lampung Timur,Alam,4.3,5572,30000,53000,Elephant Conservation Response Unit. pos pengamatan satwa. penginapan ranger. jeep safari,Taman Nasional Way Kambas merupakan tempat di mana alam dan gajah hidup berdampingan secara harmonis. Menyaksikan banyak gajah dari dekat di habitat aslinya menjadi pengalaman yang sulit dilupakan.
Taman Kupu-Kupu Gita Persada,Lampung Selatan,Buatan,4.2,572,25000,1284,rumah pohon. gardu pandang. arena bermain anak. pondok menginap. galeri seni. parkir,Taman yang memiliki daya tarik utama berupa kupu-kupu. Jumlah kupu-kupu sangat banyak dengan warna yang beragam. Terdapat pula hatchery kupu-kupu yang berisi kepompong. serta area yang dipasangi jaring sehingga kupu-kupu tidak keluar dari lokasi tersebut.
Kebun Raya Itera,Lampung Selatan,Buatan,4.8,583,0,6708,labirin. taman estetika. rumah kaca. embung dengan pulau mini Sumatera. jalur pejalan kaki,Kebun Raya ITERA merupakan ruang terbuka hijau yang nyaman dan berpotensi sebagai tempat rekreasi sekaligus edukasi di Lampung. Kawasannya luas. tertata dengan cukup rapi. serta cocok untuk berjalan santai. jogging ringan. atau sekadar duduk menikmati suasana alam.
Taman Wisata Lembah Hijau,Bandar Lampung,Buatan,4.3,5649,50000,42500,aman satwa. waterboom. outbound. gajah tunggangan. pertunjukan burung. parkir. toilet. mushola. camping ground,Lembah Hijau Lampung merupakan salah satu tempat wisata yang tidak pernah membosankan. Suasananya sangat sejuk. dipenuhi banyak pepohonan. serta memiliki udara yang segar sehingga sangat cocok untuk melepas penat dari panas dan kemacetan kota.
Taman Wisata Bumi Kedaton,Bandar Lampung,Buatan,4.7,7,40000,343,"Area Parkir. Toilet. Mushola. Kolam renang (dewasa & anak)
 Kolam arus & kolam mandi busa","Wahana cukup lengkap. tempat luas.
 Bisa lihat dan memberi makan hewan. Kondisi lebih rapi dari sebelumnya."
Bukit Embun,Lampung Barat,Alam,4.6,312,10000,12900,"Pemandangan sangat indah. terutama saat pagi hari 
 dengan fenomena lautan awan.
 Cocok untuk camping dan menikmati suasana alam yang sejuk.",Pemandangan sangat indah. terutama saat pagi hari dengan fenomena lautan awan. Cocok untuk camping dan menikmati suasana alam yang sejuk.
Taman Hamtebiu,Lampung Barat,Buatan,4.4,1113,0,2342,"Taman Hamtebiu memiliki danau. gazebo.area bermain. 
 spot foto. sepeda air. serta fasilitas umum seperti toilet. parkir.",Taman Hamtebiu cukup nyaman dan sejuk untuk bersantai. cocok untuk keluarga dengan fasilitas sederhana yang cukup memadai. meskipun perawatannya masih perlu ditingkatkan.
Temiangan Hill,Lampung Barat,Alam,4.7,31,0,9585,Spot Foto. Kamar Mandi. Mushola.,Pemandangan sangat indah. terutama saat pagi hari dengan hamparan awan seperti “negeri di atas awan”. Cocok untuk camping dan menikmati sunrise.
Danau Suoh,Lampung Barat,Alam,4.4,136,5000,0,"Area parkir.Toilet umum.Mushola
 Warung makan/minuman. area istirahat
 Spot foto alam dan area piknik",Pemandangan sangat unik dengan danau dan area panas bumi. suasana masih alami dan menarik untuk dikunjungi.
Danau Lebar,Lampung Barat,Alam,4.5,22,10000,702,"Fasilitas Danau Lebar Suoh cukup sederhana. seperti parkir.
  toilet. warung. spot foto. serta area camping dan piknik.",Bagus Tempatnya. masih asri. sekarang sudah lumayan aksesnya
Danau Minyak,Lampung Barat,Alam,4.3,6,5000,0,Area Parkir. Warung kecil. Spot Foto,Danau Minyak Suoh memiliki pemandangan yang unik dengan fenomena air yang terlihat seperti minyak. Suasananya masih alami dan tenang. cocok untuk wisata alam.
Danau Asam,Lampung Barat,Alam,4.2,32,5000,0,"gazebo untuk bersantai. area parkir. warung makan.
 perahu sewa untuk berkeliling danau. 
 dermaga kayu. serta spot foto di kawasan savana dan Keramikan.","destinasi wisata alam tersembunyi yang menawarkan
 paket lengkap: 4 danau unik (Asam. Lebar. Minyak. Belibis). 
 kawah panas bumi (Keramikan). dan savana luas."
Danau Tirta Gangga,Lampung Tengah,Buatan,4.3,5572,5000,2000,"Area parkir, gazebo, spot foto, tempat duduk, warung sekitar","Suasana danau cukup tenang, cocok untuk bersantai dan menikmati pemandangan alam."
Hutan Mangrove Sriminosari,Lampung Timur,Alam,4.1,110,10000,0,"jalur trekking kayu/bambu sepanjang ratusan meter.
 gazebo (pondokan) untuk istirahat. 
 perahu sewa untuk menyusuri area. mushola. MCK. 
 serta saung kuliner khas daerah",ekowisata berbasis swadaya masyarakat yang menawarkan trekking jembatan kayu menyusuri hutan bakau. spot foto selfie. pemandangan matahari terbenam (sunset) yang memukau. serta keanekaragaman hayati (burung dan kepiting).
Kebun Raya Liwa,Lampung Barat,Buatan,4.5,2720,10000,2544,"area tanaman hias. taman tematik seperti taman obat dan rumput
 serta koleksi tumbuhan langka.","destinasi wisata edukasi botani seluas 86 hektar yang sejuk. asri. 
 dan populer untuk healing."
Museum Lampung,Bandar Lampung,Budaya,4.5,2993,5000,3563,"Area parkir, ruang pameran, toilet, papan informasi, ruang edukasi",Tempat ini menarik untuk mengenal sejarah dan budaya Lampung secara lebih dekat.
Menara Siger,Lampung Selatan,Budaya,4.4,8984,0,494,"Area parkir, spot foto, toilet, tempat istirahat, akses jalan utama",Ikon Lampung ini memiliki pemandangan yang indah dan cocok untuk dokumentasi wisata.
Masjid Agung Al-Furqon,Bandar Lampung,Budaya,4.8,105,0,644,"Area parkir, tempat wudhu, toilet, ruang ibadah, halaman luas","Masjid terlihat megah, bersih, dan nyaman digunakan untuk beribadah maupun berkunjung."
Lengkung Langit 1,Bandar Lampung,Buatan,4.5,1961,15000,21700,Parkir. Resto. Waterpark,Tempat wisata ini memiliki banyak spot foto menarik dan suasana yang nyaman untuk keluarga.
Farm Day,Bandar Lampung,Buatan,4.2,454,30000,25200,Musholla. Parkir. Taman Satwa,Bisa ketemu macam-macam hewan dan memberi makan juga. namun harus membeli pakan nya dahulu.
Taman Merdeka Metro,Metro,Buatan,4.5,11422,0,0,Warung. Olahraga. Taman bermain,Kemajuan yang signifikan dari kondisi sebelumnya yang semrawut. saat ini berubah wajah menjadi Ruang Terbuka Hijau yang cukup nyaman dan ideal.
Lapangan Saburai,Bandar Lampung,Buatan,4.6,1527,0,0,Warung. Parkir,Kemajuan yang signifikan dari kondisi sebelumnya yang semrawut. saat ini berubah wajah menjadi Ruang Terbuka Hijau yang cukup nyaman dan ideal.
Lembah Batu Heritage,Bandar Lampung,Buatan,4.7,3389,300000,31200,Parkir. Resto. Penginapan,Tempatnya bagus. pemandangan nya indah . suasananya sejuk . Untuk makanan nya oke.
Wira Garden,Bandar Lampung,Alam,4.5,3359,15000,34700,Piknik. Parkir. Camping,banyak tempat teduh. bersih. tiap tempat bisa jadi spot foto. sungainya jernih. pegawainya baik. enak buat ngelamun juga.
Gunung Seminung,Lampung Barat,Alam,4.6,261,10000,7791,pos pendakian via Pekon Tebak Pring/Kota Batu. sumber air panas di kaki. tanpa toilet modern,Lumayan bersih. spot fotonya bagus. cuaca yang lumayan dingin
Gerbang Langit,Lampung Barat,Alam,4.8,47,0,1279,parkir luas. toilet bersih. mushola. warung makan/kantin. spot foto estetik. dan area camping ground.,"Pemandangannya sangat bagus dan indah. kendaraan dapat mencapai lokasi dengan aman. staf bersikap ramah serta sangat membantu. kamar mandi bersih dan terawat. serta tempat ini direkomendasikan untuk mencari ketenangan pada hari kerja."
Bukit Cendana,Pesawaran,Alam,4.6,342,5000,5071,pot foto. area camping. warung makan. parkir luas. buka 24 jam.,Bukit Cendana. Lampung. merupakan sebuah area perkemahan luas yang mampu menampung hingga 150 tenda. Tempat ini menawarkan pemandangan alam yang hijau dan asri. serta pemandangan indah laut Pesawaran dari ketinggian
Pantai Senaya,Pesawaran,Alam,4.7,785,3500,19800,gazebo. payung pantai. ayunan. beanbag. matras. mushola. toilet. tempat bilas. parkir luas. playground anak. food court. Wi-Fi.,"Pantai Baru yang berada di daerah Kalianda memiliki pemandangan yang sangat menarik. Area parkir untuk mobil dan sepeda motor cukup luas. Harga tiket masuk juga terjangkau. Pengunjung mendapatkan fasilitas tempat duduk dan toilet secara gratis. kecuali untuk wahana berkuda."
Pantai Kedu Warna,Lampung Selatan,Alam,4.6,412,15000,20700,toilet. mushola. gazebo. spot foto. karaoke. parkir luas,"Pantainya bersih dan cukup asri karena dipenuhi banyak pepohonan. Tersedia pula area khusus untuk memancing. Fasilitas seperti musala. tempat bilas. dan toilet juga tersedia. Untuk makanan. disarankan membawa sendiri. Selain itu. pengunjung dapat menyewa kuda dan ATV untuk berkeliling."
Pantai Rio by The Beach,Lampung Selatan,Alam,4.6,2668,40000,51200,Gazebo. beanbag. toilet/kamar bilas. mushola. food court. spot foto. playground anak. glamping. voli pantai ,"Pemandangannya sangat baik. baik dari bagian atas maupun bawah. Fasilitas yang tersedia cukup lengkap. meliputi banyak gazebo. musala. tempat berjualan makanan. kamar mandi. serta tempat bilas. Tempat ini sangat cocok untuk beristirahat dan menyegarkan pikiran bersama pasangan. keluarga. dan lain sebagainya."
Pantai Semukuk,Lampung Selatan,Alam,4.5,659,5000,4884,"Sewa matras. lazy bag. hammock. tenda. kursi/payung pantai. toilet. mushola. warung; buka 24 jam.

","Pantainya bersih. area parkir memadai. dan kendaraan roda empat dapat masuk ke lokasi. Pembayaran tiket masuk tidak memerlukan biaya parkir tambahan. Fasilitas yang tersedia cukup lengkap. meliputi musala. toilet. kamar mandi. serta tempat bilas yang bersih dan masih baru.
"
Bukit Slimpuyang,Lampung Selatan,Alam,4.5,94,35000,1901,"area tenda. spot foto. akses pantai alami.
","Petugas serta objek wisata yang ditawarkan memang sangat menarik. Kunjungan pertama dan terakhir ke sana dilakukan saat cuaca kurang mendukung. namun tetap memberikan pengalaman yang cukup menyenangkan. Tempat ini akan terasa lebih seru apabila dikunjungi secara ramai-ramai."
Bukit Paralayang,Lampung Selatan,Alam,4.7,14793,0,0,Area take off/landing. spot sunset. camping ground. parkir. warung dasar.,"Tempatnya sangat menarik karena pengunjung dapat melihat banyak pantai sekaligus dari ketinggian. Di lokasi ini tidak dikenakan biaya tiket masuk. sehingga pengunjung hanya perlu membayar biaya parkir."
Pulau Sebesi,Lampung Selatan,Alam,4.4,259,25000,13300, homestay Rp100.000-300.000/malam. kapal dari Dermaga Canti Rp25.000/orang (1-1.5 jam). toilet dasar. warung; cocok trekking/snorkeling.,Pemandangan gunung yang sangat memukau bisa kalian temui disini. Setiap pagi diselimuti kabut yang bisa bertahan hingga jam 11 siang. best view persoal bisa dilihat ketika kalian ke dermaga atau di kaki gunung yang kalian tinggali.
Pulau Sebuku,Lampung Selatan,Alam,4.3,69,0,0,snorkeling. pantai. spot foto. pemandangan Anak Gunung Krakatau. open trip dengan homestay. makan. pelampung. dokumentasi. dan kapal wisata. ,"Pulau Sebuku merupakan salah satu pulau yang indah di wilayah Lampung Selatan. Jika melakukan perjalanan ke Krakatau. biasanya wisatawan akan singgah di Pulau Sebuku Kecil dan Pulau Sebuku Besar. Air lautnya jernih dengan keindahan bawah laut yang memukau. serta memiliki pasir pantai berwarna putih."
Pantai Minang Rua,Lampung Selatan,Alam,4.4,734,10000,19500,toilet. mushola. gazebo. warung makan. area parkir. spot snorkeling. Green Canyon. air terjun. gua kelelawar. konservasi penyu. dan penginapan. ,"Pantai ini cukup direkomendasikan untuk dikunjungi. namun kondisi terasa panas karena pepohonan masih relatif kecil. Terdapat banyak warung. sehingga tidak perlu khawatir apabila tidak membawa makanan."
Pantai Marina,Lampung Selatan,Alam,4.6,2472,40000,47800,gazebo. mushola. toilet. aula. warung makan. area parkir luas. spot foto. camping. snorkeling. dan area bermain anak.,Pantai yang underrated. not too crowded. dan masih affordable bisa banget ditemukan di Lampung. Sunsetnya breathtaking. suasananya sepi sampai berasa punya pantai sendiri. dan kebersihannya juga terjaga banget.
Kyokko Beach,Lampung Selatan,Alam,4.5,1405,100000,31100,gazebo. bean bag. toilet & kamar bilas. area parkir luas. live music/DJ. spot foto. restoran. paddle board. snorkeling. dan area lounge. ,"Kebersihan pantai sangat terjaga. bahkan toiletnya rapi dan bersih seperti dimall. Akses jalan menuju lokasi juga tertata dengan estetis. Fasilitas yang tersedia sebanding dengan harga tiket masuk. Tempat ini sangat direkomendasikan untuk liburan. terutama bagi pengunjung yang gemar berfoto karena hampir setiap sudutnya memiliki tampilan yang menarik.
"
Grand Elty Krakatoa,Lampung Selatan,Buatan,4.4,5311,980000,61400,pantai pribadi. kolam renang. restoran. lounge. snorkeling. banana boat. kayaking. electric bike. mini golf. ruang meeting. WiFi. dan area rekreasi keluarga.,"Lokasi dan pantainya sangat menarik. namun pengunjung tidak dapat berenang sepenuhnya karena masih terdapat sisa terumbu karang yang rusak. Untuk kamar. kondisinya cukup baik dengan fasilitas yang tergolong memadai. meskipun layanan masih perlu ditingkatkan."
Teropong Kota Kalianda,Lampung Selatan,Buatan,5.0,41,5000,987,gardu pandang. spot foto. warung makan. mushola. area parkir. dan pemandangan Kota Kalianda dari ketinggian. ,"Tempat ini nyaman dengan pelayanan yang ramah serta bersedia membantu. Sangat direkomendasikan sebagai basecamp untuk mendaki Gunung Rajabasa."
Bukit Batubara,Lampung Tengah,Alam,4.5,62,5000,0,area parkir. spot foto. jalur trekking. panorama bukit/sabana,Untuk pemandangannya bagus. cocok untuk pendaki pemula. Trek cukup vertikal dan jalur sudah mulai rimbun karena sudah tidak ada pengelola lagi. jadi kendaraan bisa di titipan kerumah warga setempat.
Slanik Waterpark,Lampung Selatan,Buatan,4.4,5706,50000,59700,kolam ombak. kolam arus. Olympic Pool. seluncuran. gazebo. mushola. WiFi. loker. cafe. spot foto. area parkir. dan toko suvenir.,"Tempat rekreasi dan bermain air untuk anak-anak ini cukup nyaman. Pada masa liburan. pengunjung biasanya cukup padat dan lokasinya relatif jauh dari pusat Bandar Lampung. Selain itu. tersedia pula berbagai wahana permainan."
Water World Lampung,Lampung Selatan,Buatan,4.9,3606,50000,50400,kolam ombak. rainbow slide. kolam anak. food court. cafe. mushola. loker. ruang ganti. WiFi. area parkir. dan spot foto.,"Tempatnya sangat indah. nyaman. dan bersih. serta memiliki banyak kolam yang diperuntukkan bagi anak-anak. Tempat ini sangat direkomendasikan bagi yang ingin berlibur bersama keluarga."
Kolam Renang Telaga Putri,Lampung Tengah,Buatan,4.1,457,15000,413,kolam renang anak/orang dewasa. WIFI. Cafe. area parkir. ruang ganti. Tempat makan. spot foto. pemancingan.,Kolam renangnya lumayan bersih sih. tiket juga murah. Lebih di tingkatkan lagi pelayanan dan sarana prasarananya
Bendungan Damraman,Metro,Alam,4.0,758,0,0,area parkir. spot foto. warung. bebek dayung air.,Cukup bagus untuk wisata dan cocok buat memancing ikan air tawar seperti nila dan tawes. Sayang pengelolaannya tidak tertata baik. kedepan. mudah2an dapat dijadikan taman wisata dan edukasi yg baik dan menyenangkan.
Pantai Mahitam,Lampung Selatan,Alam,4.3,126,30000,5454,gazebo/pondokan. toilet. kamar mandi. mushola. tempat makan sederhana. sewa tenda. snorkeling. spot foto. dan menara pandang,"Pantai ini bersih dengan harga yang terjangkau. baik untuk tiket masuk maupun ongkos perahu. Area parkir juga aman. Untuk menikmati pengalaman secara maksimal. disarankan datang sejak pagi hingga sore hari. Jangan lupa membawa bekal makanan dan air minum."
Taman Purbakala Pugungraharjo,Lampung Timur,Budaya,4.5,629,0,6041,situs sejarah (benteng purba. menhir. dolmen. punden berundak). rumah informasi. area edukasi sejarah. papan informasi. jalur wisata. dan area terbuka untuk wisata edukasi serta foto,Tidak ada tiket masuk (Gratis) ke Taman Purbakala ini. Cukup membayar uang parkir saja. Tempatnya asri dan luas. Anda dapat menikmati suasana lapangan hijau sambil melihat lihat beberapa peninggalan purbakala seperti menhir. punden berundak undangan. dan terdapat kolam ikan utk terapi ikan.
Bukit Kucing,Bandar Lampung,Alam,4.7,63,10000,562,jalur trekking ringan. gardu pandang. spot foto. area parkir. dan pemandangan kota Bandar Lampung dari ketinggian (sunset & city light),Destinasi tempat lihat pemandangan dari ketinggian yang dekat dengan kota. sunset dan sunrise juga bisa terlihat dari sini.
Wisata Ratu Banyu,Pringsewu,Buatan,4.5,51,10000,0,area parkir. spot foto. area piknik. toilet. mushola. warung makan sederhana.,"Sebuah tempat nongkrong dengan view alam yang syahdu di area sekitar Pringsewu
Tempatnya sangat amat luas. masih cukup asri dan bersih jadi nyaman untuk santai disore hari bersama teman. pasangan maupun keluarga"
Pantai Pasir Putih,Lampung Selatan,Alam,4.0,2350,20000,311,parkir luas. toilet/kamar mandi. mushola. warung makan. penyewaan alat snorkeling & kano. gazebo. serta area bermain air dan perahu wisat,"Salah satu pantai favorit di Lampung karena lokasinya tidak terlalu jauh dari Bandar Lampung. Pasirnya halus dan ombaknya tidak besar. sehingga anak-anak dapat bermain dengan aman.
"
Pantai Kahai Beach,Lampung Selatan,Alam,4.1,806,10000,536,resort/penginapan tepi pantai. waterboom. kolam renang. arena bermain anak. gazebo. restoran/cafe. area parkir luas. serta spot pantai dengan view Gunung Rajabasa dan Selat Sunda,Salah satu tempat wisata pantai cocok untuk keluarga  di Lampung Selatan provinsi lampung. pemandangannya indah. asri dan ada wahana untuk bermain anak anak. ada  fasilitas Waterboom yang cukup bagus. dan ada tempat menginap jika ingin menghabiskan waktu di lokasi tersebut
